イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,LP2DTP.Common\LP2DTP.Common.csproj,File,LP2DTP.Common\LP2DTP.Common.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0 推奨されるターゲット フレームワーク: net10.0
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\LP2DTP.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0-windows10.0.19041.0 推奨されるターゲット フレームワーク: net10.0-windows10.0.22000.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.B,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.G,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.R,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.A,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,T:Windows.UI.Color,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.B,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.G,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.R,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.A,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,T:Windows.UI.Color,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.B,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.G,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.R,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.A,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,T:Windows.UI.Color,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,P:Windows.UI.Color.B,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,P:Windows.UI.Color.G,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,P:Windows.UI.Color.R,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,P:Windows.UI.Color.A,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,T:Windows.UI.Color,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,156,12,P:Windows.UI.Color.B,,,,,"var duplicateButton = new Button              {                  Content = ""Copy"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 33, G = 150, B = 243 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,156,12,P:Windows.UI.Color.G,,,,,"var duplicateButton = new Button              {                  Content = ""Copy"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 33, G = 150, B = 243 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,156,12,P:Windows.UI.Color.R,,,,,"var duplicateButton = new Button              {                  Content = ""Copy"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 33, G = 150, B = 243 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,156,12,P:Windows.UI.Color.A,,,,,"var duplicateButton = new Button              {                  Content = ""Copy"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 33, G = 150, B = 243 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,156,12,T:Windows.UI.Color,,,,,"var duplicateButton = new Button              {                  Content = ""Copy"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 33, G = 150, B = 243 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,92,12,P:Windows.UI.Color.B,,,,,"var itemGrid = new Grid              {                  DataContext = item,                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(4),                  BorderThickness = new Thickness(0, 0, 0, 1),                  BorderBrush = new SolidColorBrush(new Windows.UI.Color { A = 128, R = 200, G = 200, B = 200 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,92,12,P:Windows.UI.Color.G,,,,,"var itemGrid = new Grid              {                  DataContext = item,                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(4),                  BorderThickness = new Thickness(0, 0, 0, 1),                  BorderBrush = new SolidColorBrush(new Windows.UI.Color { A = 128, R = 200, G = 200, B = 200 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,92,12,P:Windows.UI.Color.R,,,,,"var itemGrid = new Grid              {                  DataContext = item,                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(4),                  BorderThickness = new Thickness(0, 0, 0, 1),                  BorderBrush = new SolidColorBrush(new Windows.UI.Color { A = 128, R = 200, G = 200, B = 200 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,92,12,P:Windows.UI.Color.A,,,,,"var itemGrid = new Grid              {                  DataContext = item,                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(4),                  BorderThickness = new Thickness(0, 0, 0, 1),                  BorderBrush = new SolidColorBrush(new Windows.UI.Color { A = 128, R = 200, G = 200, B = 200 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,92,12,T:Windows.UI.Color,,,,,"var itemGrid = new Grid              {                  DataContext = item,                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(4),                  BorderThickness = new Thickness(0, 0, 0, 1),                  BorderBrush = new SolidColorBrush(new Windows.UI.Color { A = 128, R = 200, G = 200, B = 200 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,77,16,P:Windows.UI.Color.B,,,,,"var headerText = new TextBlock                  {                      Text = headers[i],                      Margin = new Thickness(4),                      Foreground = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 255, G = 255, B = 255 })                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,77,16,P:Windows.UI.Color.G,,,,,"var headerText = new TextBlock                  {                      Text = headers[i],                      Margin = new Thickness(4),                      Foreground = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 255, G = 255, B = 255 })                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,77,16,P:Windows.UI.Color.R,,,,,"var headerText = new TextBlock                  {                      Text = headers[i],                      Margin = new Thickness(4),                      Foreground = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 255, G = 255, B = 255 })                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,77,16,P:Windows.UI.Color.A,,,,,"var headerText = new TextBlock                  {                      Text = headers[i],                      Margin = new Thickness(4),                      Foreground = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 255, G = 255, B = 255 })                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,77,16,T:Windows.UI.Color,,,,,"var headerText = new TextBlock                  {                      Text = headers[i],                      Margin = new Thickness(4),                      Foreground = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 255, G = 255, B = 255 })                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,58,12,P:Windows.UI.Color.B,,,,,"var headerGrid = new Grid              {                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(8),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 102, B = 204 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,58,12,P:Windows.UI.Color.G,,,,,"var headerGrid = new Grid              {                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(8),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 102, B = 204 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,58,12,P:Windows.UI.Color.R,,,,,"var headerGrid = new Grid              {                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(8),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 102, B = 204 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,58,12,P:Windows.UI.Color.A,,,,,"var headerGrid = new Grid              {                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(8),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 102, B = 204 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,58,12,T:Windows.UI.Color,,,,,"var headerGrid = new Grid              {                  ColumnDefinitions =                  {                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(150) },                      new ColumnDefinition { Width = new GridLength(200) },                      new ColumnDefinition { Width = new GridLength(120) },                      new ColumnDefinition { Width = new GridLength(80) },                      new ColumnDefinition { Width = GridLength.Auto }                  },                  Padding = new Thickness(8),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 102, B = 204 })              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\obj\x64\Debug\net8.0-windows10.0.19041.0\win-x64\App.g.i.cs,50,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///App.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\obj\x64\Debug\net8.0-windows10.0.19041.0\win-x64\App.g.i.cs,50,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///App.xaml"");"
